Interval=	0,01 s
ExcelDateTime=	4,1975582292743056e+004	02.12.2014 13:58:30,093
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
14,95	1,219
14,96	1,216
14,97	1,228
14,98	1,236
14,99	1,235
15,0	1,223
15,01	1,204
15,02	1,188
15,03	1,171
15,04	1,153
15,05	1,126
15,06	1,089
15,07	1,049
15,08	1,009
15,09	0,975
15,1	0,953
15,11	0,949
15,12	0,972
15,13	1,011
15,14	1,048
15,15	1,063
15,16	1,058
15,17	1,048
15,18	1,044
15,19	1,046
15,2	1,048
15,21	1,049
15,22	1,054
15,23	1,062
15,24	1,070
15,25	1,074
15,26	1,072
15,27	1,068
15,28	1,065
15,29	1,065
15,3	1,064
15,31	1,056
15,32	1,038
15,33	1,008
15,34	0,971
15,35	0,932
15,36	0,893
15,37	0,855
15,38	0,818
15,39	0,781
15,4	0,753
15,41	0,740
15,42	0,729
15,43	0,697
15,44	0,639
15,45	0,574
15,46	0,529
15,47	0,510
15,48	0,491
15,49	0,457
15,5	0,409
15,51	0,357
15,52	0,313
15,53	0,278
15,54	0,242
15,55	0,202
15,56	0,155
15,57	0,108
15,58	0,066
15,59	0,037
15,6	0,021
15,61	0,014
15,62	0,011
15,63	0,006
15,64	-0,003
15,65	-0,022
15,66	-0,046
15,67	-0,074
15,68	-0,104
15,69	-0,137
15,7	-0,172
15,71	-0,206
15,72	-0,239
15,73	-0,270
15,74	-0,296
15,75	-0,318
15,76	-0,336
15,77	-0,356
15,78	-0,376
15,79	-0,399
15,8	-0,424
15,81	-0,449
15,82	-0,476
15,83	-0,501
15,84	-0,527
15,85	-0,550
15,86	-0,571
15,87	-0,589
15,88	-0,609
15,89	-0,629
15,9	-0,642
15,91	-0,643
15,92	-0,638
15,93	-0,644
15,94	-0,667
15,95	-0,689
15,96	-0,702
15,97	-0,704
15,98	-0,706
15,99	-0,717
16,0	-0,739
16,01	-0,769
